industry,model_name,intent_type,mention_status,run_count,citation_count,avg_citations_per_run,category,category_label,category_count,category_share_pct
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,ecommerce_site,電商 / 平台,92,18.2
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,other_category,其他來源,3,0.6
電腦類,gemini,推薦型,有品牌提及,54,505,9.35,unknown,未知來源,0,0.0
電腦類,gemini,比較型,有品牌提及,53,463,8.74,brand_site,品牌 / 官方型來源,104,22.5
電腦類,gemini,比較型,有品牌提及,53,463,8.74,influencer_blogger,評測 / 部落格 / KOL,45,9.7
電腦類,gemini,比較型,有品牌提及,53,463,8.74,news_media,新聞媒體,64,13.8
電腦類,gemini,比較型,有品牌提及,53,463,8.74,social_media,社群媒體,157,33.9
電腦類,gemini,比較型,有品牌提及,53,463,8.74,ecommerce_site,電商 / 平台,87,18.8
電腦類,gemini,比較型,有品牌提及,53,463,8.74,other_category,其他來源,6,1.3
電腦類,gemini,比較型,有品牌提及,53,463,8.74,unknown,未知來源,0,0.0
電腦類,gemini,比較型,無品牌提及,1,8,8.0,brand_site,品牌 / 官方型來源,0,0.0
電腦類,gemini,比較型,無品牌提及,1,8,8.0,influencer_blogger,評測 / 部落格 / KOL,0,0.0
電腦類,gemini,比較型,無品牌提及,1,8,8.0,news_media,新聞媒體,0,0.0
電腦類,gemini,比較型,無品牌提及,1,8,8.0,social_media,社群媒體,5,62.5
電腦類,gemini,比較型,無品牌提及,1,8,8.0,ecommerce_site,電商 / 平台,3,37.5
電腦類,gemini,比較型,無品牌提及,1,8,8.0,other_category,其他來源,0,0.0
電腦類,gemini,比較型,無品牌提及,1,8,8.0,unknown,未知來源,0,0.0
電腦類,gemini,知識型,有品牌提及,44,460,10.45,brand_site,品牌 / 官方型來源,142,30.9
電腦類,gemini,知識型,有品牌提及,44,460,10.45,influencer_blogger,評測 / 部落格 / KOL,27,5.9
電腦類,gemini,知識型,有品牌提及,44,460,10.45,news_media,新聞媒體,70,15.2
電腦類,gemini,知識型,有品牌提及,44,460,10.45,social_media,社群媒體,128,27.8
