industry,canonical_name,avg_pos,n_runs,pct_first
食品業,不二糕餅,0.449,125,3.2
食品業,郭元益,0.45,30,6.7
食品業,新口味,0.464,13,0.0
食品業,吳寶春,0.465,11,0.0
食品業,龍鳳堂,0.467,13,0.0
食品業,彰化不二坊,0.493,13,0.0
食品業,台北犁記,0.509,14,0.0
食品業,香格禮坊,0.561,71,0.0
食品業,聯翔餅店,0.581,17,0.0
食品業,林記糕餅舖,0.603,17,0.0
食品業,Mr. 啃,0.633,34,0.0
食品業,小潘蛋糕坊,0.656,76,0.0
食品業,陳允寶泉,0.66,38,0.0
食品業,LURPAK,0.672,13,0.0
食品業,拓元售票系統,0.674,16,0.0
食品業,新口味食品行,0.728,49,0.0
食品業,金葡萄蛋黃酥,0.761,19,0.0
食品業,東京巴黎甜點,0.792,17,0.0
食品業,拉波兒麵包,0.793,11,0.0
食品業,微熱山丘,0.81,15,0.0
食品業,陳耀訓・麵包埠,0.875,48,0.0
食品業,陳耀訓·麵包埠,0.896,19,0.0
食品業,法朋烘焙甜點坊,0.944,59,0.0
食品業,莎士比亞烘焙坊,0.969,21,0.0
